Wien-Alter-Ausländische Herkunft | Vienna-Age-Foreign Background;;;;;;;;;;;;;
NUTS1;NUTS2;NUTS3;DISTRICT_CODE;SUB_DISTRICT_CODE;SEX;AGE;POP_TOTAL;POP_SCG;POP_TUR;POP_DEU;POP_POL;POP_BIH;POP_ROU;POP_HUN;POP_SYR;POP_RUS;POP_OTHER;POP_AUT;REF_DATE
AT1;AT13;AT130;.;.;1;14;8511;352;345;69;91;107;47;22;1;52;797;6628;20080101
AT1;AT13;AT130;.;.;1;15;8565;379;358;85;114;175;35;24;1;51;853;6490;20080101
AT1;AT13;AT130;.;.;1;16;8594;397;351;67;100;243;38;22;1;55;785;6535;20080101
AT1;AT13;AT130;.;.;1;17;8700;425;378;91;90;244;45;25;5;51;979;6367;20080101
AT1;AT13;AT130;.;.;1;18;8719;476;467;86;66;253;66;18;8;60;977;6242;20080101
AT1;AT13;AT130;.;.;1;19;9429;503;580;101;106;312;122;37;5;59;1175;6429;20080101
AT1;AT13;AT130;.;.;1;20;9908;556;628;159;138;284;131;41;8;53;1457;6453;20080101
AT1;AT13;AT130;.;.;1;21;10472;574;663;213;172;334;151;40;8;62;1598;6657;20080101
AT1;AT13;AT130;.;.;1;22;10924;613;760;291;209;376;151;49;5;62;1644;6764;20080101
AT1;AT13;AT130;.;.;1;23;11531;643;817;297;272;409;140;41;14;59;1775;7064;20080101
AT1;AT13;AT130;.;.;1;24;11779;673;751;323;286;412;161;53;14;83;1844;7179;20080101
AT1;AT13;AT130;.;.;1;25;12368;651;925;373;298;393;157;68;11;77;1885;7530;20080101
AT1;AT13;AT130;.;.;1;26;12792;718;969;408;331;371;172;91;15;73;2037;7607;20080101
AT1;AT13;AT130;.;.;1;27;12796;719;1004;424;396;381;174;104;11;66;2164;7353;20080101
AT1;AT13;AT130;.;.;1;28;12236;715;958;392;378;340;180;94;13;67;2130;6969;20080101
AT1;AT13;AT130;.;.;1;29;12142;761;928;451;410;317;179;82;16;69;2205;6724;20080101
AT1;AT13;AT130;.;.;1;30;12095;778;884;460;406;312;185;106;15;85;2219;6645;20080101
AT1;AT13;AT130;.;.;1;31;12160;756;842;436;375;340;151;128;14;69;2284;6765;20080101
AT1;AT13;AT130;.;.;1;32;12437;793;763;435;387;341;166;119;15;69;2307;7042;20080101
AT1;AT13;AT130;.;.;1;33;12611;794;845;420;347;287;176;110;10;78;2213;7331;20080101
AT1;AT13;AT130;.;.;1;34;12324;741;853;432;320;335;152;95;24;77;2068;7227;20080101
AT1;AT13;AT130;.;.;1;35;12777;820;895;419;312;356;140;62;4;68;2144;7557;20080101
AT1;AT13;AT130;.;.;1;36;13111;858;856;448;335;335;188;75;22;75;2041;7878;20080101
AT1;AT13;AT130;.;.;1;37;13587;879;849;395;347;348;183;74;20;59;2163;8270;20080101
AT1;AT13;AT130;.;.;1;38;14228;966;819;407;330;390;186;86;14;61;2163;8806;20080101
AT1;AT13;AT130;.;.;1;39;14792;970;824;416;319;417;199;81;19;51;2251;9245;20080101
AT1;AT13;AT130;.;.;1;40;14604;876;688;445;322;439;213;65;19;52;2117;9368;20080101
AT1;AT13;AT130;.;.;1;41;14645;809;984;387;327;414;101;74;26;58;2219;9246;20080101
AT1;AT13;AT130;.;.;1;42;14533;845;988;386;346;402;113;83;23;52;2182;9113;20080101
AT1;AT13;AT130;.;.;1;43;14479;730;934;391;326;412;120;53;31;56;2141;9285;20080101
AT1;AT13;AT130;.;.;1;44;14311;781;785;321;348;371;110;82;17;60;2197;9239;20080101
AT1;AT13;AT130;.;.;1;45;13881;704;734;314;338;367;98;63;25;44;2069;9125;20080101
AT1;AT13;AT130;.;.;1;46;13232;707;671;275;381;347;107;74;16;66;1832;8756;20080101
AT1;AT13;AT130;.;.;1;47;12776;714;814;268;393;333;76;83;18;37;1839;8201;20080101
AT1;AT13;AT130;.;.;1;48;12030;651;667;234;383;299;90;86;25;44;1603;7948;20080101
AT1;AT13;AT130;.;.;1;49;11491;674;557;185;451;327;100;85;16;36;1539;7521;20080101
AT1;AT13;AT130;.;.;1;50;11132;694;461;198;447;263;92;110;12;47;1525;7283;20080101
AT1;AT13;AT130;.;.;1;51;10667;700;671;178;437;291;77;115;9;43;1457;6689;20080101
AT1;AT13;AT130;.;.;1;52;10064;733;593;195;500;278;99;156;15;47;1347;6101;20080101
AT1;AT13;AT130;.;.;1;53;9520;792;450;162;415;303;71;145;10;40;1330;5802;20080101
AT1;AT13;AT130;.;.;1;54;9014;823;358;151;414;316;64;149;5;33;1223;5478;20080101
AT1;AT13;AT130;.;.;1;55;9134;1029;307;120;376;394;73;102;10;33;1211;5479;20080101
AT1;AT13;AT130;.;.;1;56;8585;893;248;129;341;301;72;105;7;23;1098;5368;20080101
AT1;AT13;AT130;.;.;1;57;9142;1057;411;118;273;337;61;99;10;22;1102;5652;20080101
AT1;AT13;AT130;.;.;1;58;9330;901;320;116;290;294;48;107;7;31;990;6226;20080101
AT1;AT13;AT130;.;.;1;59;10153;862;290;159;233;244;49;110;11;31;946;7218;20080101
AT1;AT13;AT130;.;.;1;60;10398;721;277;203;175;205;41;109;10;27;798;7832;20080101
AT1;AT13;AT130;.;.;1;61;7959;516;228;242;168;223;55;97;4;35;803;5588;20080101
AT1;AT13;AT130;.;.;1;62;7477;382;233;385;126;116;29;89;19;22;871;5205;20080101
AT1;AT13;AT130;.;.;1;63;9593;475;179;341;164;148;43;93;11;20;996;7123;20080101
AT1;AT13;AT130;.;.;1;64;9422;425;135;296;138;109;42;87;15;19;876;7280;20080101
AT1;AT13;AT130;.;.;1;65;8896;392;148;280;105;100;42;83;19;16;790;6921;20080101
AT1;AT13;AT130;.;.;1;66;9857;332;130;274;78;105;41;77;8;24;865;7923;20080101
AT1;AT13;AT130;.;.;1;67;10006;304;117;273;54;96;27;78;9;35;775;8238;20080101
AT1;AT13;AT130;.;.;1;68;9283;276;104;271;73;84;47;78;13;18;670;7649;20080101
AT1;AT13;AT130;.;.;1;69;5632;221;93;170;38;78;45;80;11;34;579;4283;20080101
AT1;AT13;AT130;.;.;1;70;4719;233;82;149;35;69;34;84;13;25;557;3438;20080101
AT1;AT13;AT130;.;.;1;71;4398;196;61;110;39;62;39;83;8;16;504;3280;20080101
AT1;AT13;AT130;.;.;1;72;4251;167;61;113;37;41;28;64;7;19;460;3254;20080101
AT1;AT13;AT130;.;.;1;73;4046;164;63;92;32;47;27;58;1;13;444;3105;20080101
AT1;AT13;AT130;.;.;1;74;4012;145;64;53;29;33;27;55;4;6;372;3224;20080101
AT1;AT13;AT130;.;.;1;75;4083;125;58;43;28;25;22;46;3;8;398;3327;20080101
AT1;AT13;AT130;.;.;1;76;3830;136;34;51;17;24;27;37;3;9;341;3151;20080101
AT1;AT13;AT130;.;.;1;77;4005;104;34;55;22;18;24;63;0;10;345;3330;20080101
AT1;AT13;AT130;.;.;1;78;3633;96;18;47;25;12;28;49;2;2;307;3047;20080101
AT1;AT13;AT130;.;.;1;79;3557;68;21;59;17;15;21;38;0;5;301;3012;20080101
AT1;AT13;AT130;.;.;1;80;3235;56;17;28;15;13;26;35;1;3;263;2778;20080101
AT1;AT13;AT130;.;.;1;81;3051;48;14;32;15;4;28;34;2;3;227;2644;20080101
AT1;AT13;AT130;.;.;1;82;2781;22;10;34;18;5;27;31;1;4;224;2405;20080101
AT1;AT13;AT130;.;.;1;83;2405;27;9;26;19;7;19;27;0;4;176;2091;20080101
AT1;AT13;AT130;.;.;1;84;2159;26;3;32;20;3;27;31;1;1;186;1829;20080101
AT1;AT13;AT130;.;.;1;85;1999;28;8;28;12;2;22;32;1;3;179;1684;20080101
AT1;AT13;AT130;.;.;1;86;1544;13;6;19;8;5;19;23;0;4;123;1324;20080101
